 

stn;time;gre000h0
AGAAR;2022111400;3
AGAAR;2022111401;3
AGAAR;2022111402;3
AGAAR;2022111403;3
AGAAR;2022111404;3
AGAAR;2022111405;3
AGAAR;2022111406;5
AGAAR;2022111407;7
AGAAR;2022111408;17
AGAAR;2022111409;30
AGAAR;2022111410;75
AGAAR;2022111411;93
AGAAR;2022111412;98
AGAAR;2022111413;110
AGAAR;2022111414;43
AGAAR;2022111415;18
AGAAR;2022111416;11
AGAAR;2022111417;3
AGAAR;2022111418;3
AGAAR;2022111419;3
AGAAR;2022111420;3
AGAAR;2022111421;3
AGAAR;2022111422;3
AGAAR;2022111423;3
AGAAR;2022111500;3
AGAAR;2022111501;3
AGAAR;2022111502;3
AGAAR;2022111503;3
AGAAR;2022111504;3
AGAAR;2022111505;3
AGAAR;2022111506;3
AGAAR;2022111507;6
AGAAR;2022111508;29
AGAAR;2022111509;55
AGAAR;2022111510;89
AGAAR;2022111511;67
AGAAR;2022111512;97
AGAAR;2022111513;89
AGAAR;2022111514;57
AGAAR;2022111515;28
AGAAR;2022111516;10
AGAAR;2022111517;3
AGAAR;2022111518;2
AGAAR;2022111519;3
AGAAR;2022111520;3
AGAAR;2022111521;2
AGAAR;2022111522;3
AGAAR;2022111523;3
AGAAR;2022111600;5
AGAAR;2022111601;4
AGAAR;2022111602;5
AGAAR;2022111603;5
AGAAR;2022111604;6
AGAAR;2022111605;5
AGAAR;2022111606;5
AGAAR;2022111607;7
AGAAR;2022111608;28
AGAAR;2022111609;93
AGAAR;2022111610;111
AGAAR;2022111611;189
AGAAR;2022111612;314
AGAAR;2022111613;131
AGAAR;2022111614;67
AGAAR;2022111615;30
AGAAR;2022111616;14
AGAAR;2022111617;1
AGAAR;2022111618;1
AGAAR;2022111619;1
AGAAR;2022111620;1
AGAAR;2022111621;2
AGAAR;2022111622;3
AGAAR;2022111623;3
AGAAR;2022111700;2
AGAAR;2022111701;3
AGAAR;2022111702;2
AGAAR;2022111703;3
AGAAR;2022111704;3
AGAAR;2022111705;3
AGAAR;2022111706;2
AGAAR;2022111707;4
AGAAR;2022111708;29
AGAAR;2022111709;60
AGAAR;2022111710;161
AGAAR;2022111711;202
AGAAR;2022111712;167
AGAAR;2022111713;100
AGAAR;2022111714;62
AGAAR;2022111715;52
AGAAR;2022111716;15
AGAAR;2022111717;2
AGAAR;2022111718;1
AGAAR;2022111719;3
AGAAR;2022111720;4
AGAAR;2022111721;3
AGAAR;2022111722;3
AGAAR;2022111723;4
AGAAR;2022111800;4
AGAAR;2022111801;4
AGAAR;2022111802;5
AGAAR;2022111803;3
AGAAR;2022111804;3
AGAAR;2022111805;3
AGAAR;2022111806;3
AGAAR;2022111807;7
AGAAR;2022111808;44
AGAAR;2022111809;53
AGAAR;2022111810;105
AGAAR;2022111811;72
AGAAR;2022111812;84
AGAAR;2022111813;71
AGAAR;2022111814;61
AGAAR;2022111815;35
AGAAR;2022111816;12
AGAAR;2022111817;2
AGAAR;2022111818;2
AGAAR;2022111819;2
AGAAR;2022111820;2
AGAAR;2022111821;1
AGAAR;2022111822;2
AGAAR;2022111823;3
AGAAR;2022111900;3
AGAAR;2022111901;3
AGAAR;2022111902;3
AGAAR;2022111903;3
AGAAR;2022111904;3
AGAAR;2022111905;2
AGAAR;2022111906;2
AGAAR;2022111907;5
AGAAR;2022111908;28
AGAAR;2022111909;57
AGAAR;2022111910;134
AGAAR;2022111911;108
AGAAR;2022111912;122
AGAAR;2022111913;104
AGAAR;2022111914;88
AGAAR;2022111915;51
AGAAR;2022111916;9
AGAAR;2022111917;2
