Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
MOE       Möhlin                               gre000h0         MeteoSchweiz                                       7°53'/47°34'             633053/269147    343
DLMUD     Mühldorf                             gre000h0         Deutscher Wetterdienst                             12°30'/48°17'            975681/359796    406
MUB       Mühleberg                            gre000h0         MeteoSchweiz                                       7°17'/46°58'             587792/202479    479
MMMUM     Mümliswil                            gre000h0         DTN Schweiz AG                                     7°42'/47°21'             619694/243474    560
DLMUO     Münster / Osnabrück                  gre000h0         Deutscher Wetterdienst                             7°42'/52°08'             617766/777303    48
IYNAT     Naturns                              gre000h0         Autonome Provinz Bozen - Südtirol                  10°59'/46°39'            871877/172430    537
NEU       Neuchâtel                            gre000h0         MeteoSchweiz                                       6°57'/47°00'             563086/205559    485
WSLNEF    Neunkirch Freiland                   gre000h0         Eidg. Forschungsanstalt WSL                        8°32'/47°41'             681661/282699    463
DLWEB     Neustadt / Weinbiet                  gre000h0         Deutscher Wetterdienst                             8°07'/49°23'             -/-              553
TGNOL     Nollen                               gre000h0         Kanton Thurgau                                     9°07'/47°30'             726838/261520    733
TGNUS     Nussbaumen                           gre000h0         Kanton Thurgau                                     8°50'/47°37'             704218/275708    480
CGI       Nyon / Changins                      gre000h0         MeteoSchweiz                                       6°14'/46°24'             506878/139572    458
DLNUR     Nürburg / Barweiler                  gre000h0         Deutscher Wetterdienst                             6°52'/50°22'             -/-              485
DLNUE     Nürnberg                             gre000h0         Deutscher Wetterdienst                             11°03'/49°30'            862116/489905    314
DLOBD     Oberstdorf                           gre000h0         Deutscher Wetterdienst                             10°17'/47°24'            814149/253623    806
MMOBE     Oberthal                             gre000h0         DTN Schweiz AG                                     7°40'/46°55'             617980/196061    853
IYOBV     Obervintl                            gre000h0         Autonome Provinz Bozen - Südtirol                  11°45'/46°49'            929155/193494    747
ORO       Oron                                 gre000h0         MeteoSchweiz                                       6°51'/46°34'             555505/158052    828
WSLOTF    Othmarsingen Freiland                gre000h0         Eidg. Forschungsanstalt WSL                        8°13'/47°24'             659217/250228    461
TGOTT     Ottenberg                            gre000h0         Kanton Thurgau                                     9°08'/47°35'             727270/271500    665
PAY       Payerne                              gre000h0         MeteoSchweiz Test                                  6°57'/46°49'             562131/184611    490
PIO       Piotta                               gre000h0         MeteoSchweiz                                       8°41'/46°31'             695880/152264    990
PUY       Pully                                gre000h0         MeteoSchweiz                                       6°40'/46°31'             540819/151510    455
MMRAF     Rafz                                 gre000h0         DTN Schweiz AG                                     8°33'/47°36'             684040/272684    432
DLREG     Regensburg                           gre000h0         Deutscher Wetterdienst                             12°06'/49°03'            -/-              365
INNRED    Reiden                               gre000h0         inNET Monitoring AG                                7°58'/47°14'             639560/232110    462
MMRIC     Ricken                               gre000h0         DTN Schweiz AG                                     9°03'/47°16'             721669/236300    797
TGRIC     Rickenbach                           gre000h0         Kanton Thurgau                                     9°03'/47°27'             722080/256250    545
MMRIG     Riggisberg                           gre000h0         DTN Schweiz AG                                     7°29'/46°49'             603271/184705    803
IYRIS     Ritten / Siffian                     gre000h0         Autonome Provinz Bozen - Südtirol                  11°28'/46°32'            -/-              987
MMROM     Romont                               gre000h0         DTN Schweiz AG                                     6°55'/46°42'             560223/171568    778
RUE       Rünenberg                            gre000h0         MeteoSchweiz                                       7°53'/47°26'             633252/253845    611
DLSAA     Saarbrücken / Ensheim                gre000h0         Deutscher Wetterdienst                             7°06'/49°13'             575872/451603    320
