 

stn;time;sre000h0
COM;2022110203;0
COM;2022110204;0
COM;2022110205;0
COM;2022110206;0
COM;2022110207;0
COM;2022110208;2
COM;2022110209;60
COM;2022110210;60
COM;2022110211;56
COM;2022110212;13
COM;2022110213;2
COM;2022110214;0
COM;2022110215;0
COM;2022110216;0
COM;2022110217;0
COM;2022110218;0
COM;2022110219;0
COM;2022110220;0
COM;2022110221;0
COM;2022110222;0
COM;2022110223;0
COM;2022110300;0
COM;2022110301;0
COM;2022110302;0
COM;2022110303;0
COM;2022110304;0
COM;2022110305;0
COM;2022110306;0
COM;2022110307;0
COM;2022110308;0
COM;2022110309;0
COM;2022110310;0
COM;2022110311;0
COM;2022110312;0
COM;2022110313;0
COM;2022110314;0
COM;2022110315;0
COM;2022110316;0
COM;2022110317;0
COM;2022110318;0
COM;2022110319;0
COM;2022110320;0
COM;2022110321;0
COM;2022110322;0
COM;2022110323;0
COM;2022110400;0
COM;2022110401;0
COM;2022110402;0
COM;2022110403;0
COM;2022110404;0
COM;2022110405;0
COM;2022110406;0
COM;2022110407;0
COM;2022110408;0
COM;2022110409;21
COM;2022110410;60
COM;2022110411;60
COM;2022110412;60
COM;2022110413;49
COM;2022110414;7
COM;2022110415;0
COM;2022110416;0
COM;2022110417;0
COM;2022110418;0
COM;2022110419;0
COM;2022110420;0
COM;2022110421;0
COM;2022110422;0
COM;2022110423;0
COM;2022110500;0
COM;2022110501;0
COM;2022110502;0
COM;2022110503;0
COM;2022110504;0
COM;2022110505;0
COM;2022110506;0
COM;2022110507;0
COM;2022110508;1
COM;2022110509;60
COM;2022110510;60
COM;2022110511;60
COM;2022110512;59
COM;2022110513;56
COM;2022110514;11
COM;2022110515;0
COM;2022110516;0
COM;2022110517;0
COM;2022110518;0
COM;2022110519;0
COM;2022110520;0
COM;2022110521;0
COM;2022110522;0
COM;2022110523;0
COM;2022110600;0
COM;2022110601;0
COM;2022110602;0
COM;2022110603;0
COM;2022110604;0
COM;2022110605;0
COM;2022110606;0
COM;2022110607;0
COM;2022110608;0
COM;2022110609;60
COM;2022110610;60
COM;2022110611;48
COM;2022110612;12
COM;2022110613;60
COM;2022110614;20
COM;2022110615;0
COM;2022110616;0
COM;2022110617;0
COM;2022110618;0
COM;2022110619;0
COM;2022110620;0
COM;2022110621;0
COM;2022110622;0
COM;2022110623;0
COM;2022110700;0
COM;2022110701;0
COM;2022110702;0
COM;2022110703;0
COM;2022110704;0
COM;2022110705;0
COM;2022110706;0
COM;2022110707;0
COM;2022110708;0
COM;2022110709;60
COM;2022110710;60
COM;2022110711;60
COM;2022110712;57
COM;2022110713;58
COM;2022110714;19
COM;2022110715;0
COM;2022110716;0
COM;2022110717;0
COM;2022110718;0
COM;2022110719;0
COM;2022110720;0
COM;2022110721;0
COM;2022110722;0
COM;2022110723;0
COM;2022110800;0
COM;2022110801;0
COM;2022110802;0
COM;2022110803;0
COM;2022110804;0
COM;2022110805;0
COM;2022110806;0
COM;2022110807;0
COM;2022110808;0
COM;2022110809;7
COM;2022110810;47
COM;2022110811;60
COM;2022110812;58
COM;2022110813;13
COM;2022110814;4
COM;2022110815;0
COM;2022110816;0
COM;2022110817;0
COM;2022110818;0
COM;2022110819;0
COM;2022110820;0
COM;2022110821;0
COM;2022110822;0
COM;2022110823;0
COM;2022110900;0
COM;2022110901;0
COM;2022110902;0
COM;2022110903;0
COM;2022110904;0
COM;2022110905;0
COM;2022110906;0
COM;2022110907;0
COM;2022110908;0
COM;2022110909;0
COM;2022110910;0
COM;2022110911;0
COM;2022110912;0
COM;2022110913;0
COM;2022110914;0
COM;2022110915;0
COM;2022110916;0
COM;2022110917;0
COM;2022110918;0
