Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
ZELUEB    Eschenbach                           rre150h0         Kanton Luzern; zentras                             8°19'/47°09'             666845/221568    498
ESZ       Eschenz                              rre150h0         MeteoSchweiz                                       8°52'/47°39'             707844/278214    414
ZHESS     Esslingen / Tüfentalbrücke           rre150h0         Kanton Zürich; Tiefbauamt                          8°42'/47°18'             695671/239376    500
KAETT     Ettingen                             rre150h0         Kachelmannwetter GmbH                              7°33'/47°29'             607965/259232    327
EVI       Evionnaz                             rre150h0         MeteoSchweiz                                       7°02'/46°11'             568197/114693    482
AGFAW     Fahrwangen                           rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°15'/47°18'             660756/239101    535
FAH       Fahy                                 rre150h0         MeteoSchweiz                                       6°56'/47°25'             562464/252675    596
FAI       Faido                                rre150h0         MeteoSchweiz                                       8°48'/46°29'             704950/148266    747
DLFEL     Feldkirchen-Westerham / Lenzmühle    rre150h0         Deutscher Wetterdienst                             11°54'/47°56'            933179/319543    517
BOURFE    Felli                                rre150h0         Bundesamt für Strassen                             8°38'/46°44'             691750/177349    658
DLFEU     Feuchtwangen / Heilbronn             rre150h0         Deutscher Wetterdienst                             10°22'/49°10'            -/-              475
GLFIL     Filzbach                             rre150h0         Gebäudeversicherung glarnerSach                    9°07'/47°07'             727955/220421    720
FLW       Flawil                               rre150h0         MeteoSchweiz                                       9°12'/47°25'             733136/252978    571
BOZHFH    Flughafen Zürich                     rre150h0         Flughafen Zürich                                   8°32'/47°29'             682986/259328    420
BOZHF2    Flughafen Zürich_16.6                rre150h0         Flughafen Zürich                                   8°33'/47°27'             684117/256008    420
BOZHF3    Flughafen Zürich_28.7                rre150h0         Flughafen Zürich                                   8°34'/47°27'             684957/256844    420
ZHUHW     Flurlingen / Rastplatz Buchhalde     rre150h0         Bundesamt für Strassen                             8°38'/47°41'             689406/281339    464
FLU       Flühli, LU                           rre150h0         MeteoSchweiz                                       8°01'/46°53'             644332/193311    939
ZELUFT    Fontannen / Romoos                   rre150h0         Kanton Luzern; zentras                             8°02'/47°01'             645527/207445    679
ZHFOR     Forch                                rre150h0         Kanton Zürich; Tiefbauamt                          8°39'/47°19'             691949/242251    680
VDFOL     Forel                                rre150h0         Canton de Vaud                                     6°47'/46°32'             549230/154035    684
DLHAH     Frankfurt / Hahn Flughafen           rre150h0         Deutscher Wetterdienst                             7°16'/49°57'             -/-              497
DLFRA     Frankfurt / Main Flughafen           rre150h0         Deutscher Wetterdienst                             8°31'/50°02'             677700/542622    100
IYFRA     Franzensfeste / Grasstein            rre150h0         Autonome Provinz Bozen - Südtirol                  11°33'/46°49'            913553/192811    830
MMFRS     Frasco                               rre150h0         DTN Schweiz AG                                     8°48'/46°20'             705000/133077    901
TGFRA     Frauenfeld                           rre150h0         Kanton Thurgau                                     8°54'/47°34'             709512/270190    391
DLFRB     Freiburg                             rre150h0         Deutscher Wetterdienst                             7°50'/48°01'             629531/319289    236
BOSGFR    Freienbach                           rre150h0         Kanton St. Gallen; Baudepartement                  9°32'/47°19'             758139/241978    647
DLFRS     Freudenstadt                         rre150h0         Deutscher Wetterdienst                             8°25'/48°27'             671807/367535    797
GRA       Fribourg / Grangeneuve               rre150h0         MeteoSchweiz                                       7°07'/46°46'             575183/180076    650
AGFRI     Frick                                rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°01'/47°31'             643650/262700    337
DLFRH     Friedrichshafen / Unterraderach      rre150h0         Deutscher Wetterdienst                             9°26'/47°41'             750321/283450    459
FRU       Frutigen                             rre150h0         MeteoSchweiz                                       7°39'/46°36'             616773/160884    756
ZEZGFB    Fännbrücke                           rre150h0         Bundesamt für Strassen                             8°27'/47°07'             677082/218577    425
VDFEC     Féchy                                rre150h0         Canton de Vaud                                     6°22'/46°29'             518325/148680    470
BOFRFE    Fégir                                rre150h0         Bundesamt für Strassen                             6°55'/46°31'             559371/151640    830
DLFUR     Fürstenzell                          rre150h0         Deutscher Wetterdienst                             13°21'/48°33'            -/-              476
BOSGGA    Gams                                 rre150h0         Kanton St. Gallen; Baudepartement                  9°27'/47°12'             751932/229469    473
IYGAR     Gargazon                             rre150h0         Autonome Provinz Bozen - Südtirol                  11°12'/46°35'            888284/165295    254
DLGAR     Garmisch-Partenkirchen               rre150h0         Deutscher Wetterdienst                             11°04'/47°29'            873023/265449    719
DLGEH     Geisenheim                           rre150h0         Deutscher Wetterdienst                             7°57'/49°59'             -/-              110
DLGEI     Geisingen                            rre150h0         Deutscher Wetterdienst                             8°39'/47°55'             690328/308879    672
DLGEL     Gelbelsee                            rre150h0         Deutscher Wetterdienst                             11°26'/48°57'            -/-              536
VDGEN     Genoiler                             rre150h0         Canton de Vaud                                     6°13'/46°26'             505690/143660    570
GVE       Genève / Cointrin                    rre150h0         MeteoSchweiz                                       6°08'/46°15'             498904/122631    410
GEDDU     Genève / David-Dufour                rre150h0         République et canton de Genève                     6°08'/46°12'             499163/117403    374
GEERM     Genève / L'Ermitage                  rre150h0         République et canton de Genève                     6°08'/46°15'             499073/122772    401
