Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
BOVDPS    Pont de Saumont                      rre150h0         Bundesamt für Strassen                             6°54'/46°30'             558731/150555    828
BONEPS    Pont de Sorges                       rre150h0         Bundesamt für Strassen                             6°54'/47°01'             558902/207684    702
BONEPN    Pont Noir                            rre150h0         Bundesamt für Strassen                             6°54'/47°01'             559225/206607    630
BOVSUV    Pont Uvrier                          rre150h0         Bundesamt für Strassen                             7°24'/46°15'             597599/121330    499
BOVSPL    Pt. Lizerne                          rre150h0         Bundesamt für Strassen                             7°16'/46°12'             587169/117395    488
PUY       Pully                                rre150h0         MeteoSchweiz                                       6°40'/46°31'             540819/151510    455
BOVDRA    Raffinerie                           rre150h0         Bundesamt für Strassen                             6°57'/46°18'             562844/127642    393
MMRAF     Rafz                                 rre150h0         DTN Schweiz AG                                     8°33'/47°36'             684040/272684    432
DLREG     Regensburg                           rre150h0         Deutscher Wetterdienst                             12°06'/49°03'            -/-              365
BOGRRE    Reichenau                            rre150h0         Bundesamt für Strassen                             9°25'/46°48'             750780/185800    600
BOSGRO    Reichenburg Ost                      rre150h0         Bundesamt für Strassen                             8°59'/47°11'             717314/226850    416
AGREH     Reinach                              rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°10'/47°16'             655394/234929    516
KAREH     Reinach                              rre150h0         Kachelmannwetter GmbH                              7°36'/47°29'             611571/259333    307
DLREI     Reit im Winkl                        rre150h0         Deutscher Wetterdienst                             12°28'/47°41'            977558/292626    685
REM       Rempen                               rre150h0         MeteoSchweiz                                       8°54'/47°08'             710610/221850    650
VDREN     Rennaz                               rre150h0         Canton de Vaud                                     6°56'/46°23'             560930/136625    375
DLREN     Renningen                            rre150h0         Deutscher Wetterdienst                             8°55'/48°45'             709296/400261    478
ZELURB    Reussbrücke                          rre150h0         Bundesamt für Strassen                             8°20'/47°06'             668541/216929    426
VDREV     Reverolle                            rre150h0         Canton de Vaud                                     6°26'/46°33'             523030/155005    595
DLRHE     Rheinau                              rre150h0         Deutscher Wetterdienst                             7°60'/48°40'             640912/391306    131
BOSGRB    Rheinbrücke                          rre150h0         Bundesamt für Strassen                             9°30'/47°01'             757350/209048    506
ZHWOL     Richterswil / Mühlebachtobelbrücke   rre150h0         Bundesamt für Strassen                             8°42'/47°12'             695632/228173    540
MMRIC     Ricken                               rre150h0         DTN Schweiz AG                                     9°03'/47°16'             721669/236300    797
ZELURI    Rickenbach                           rre150h0         Kanton Luzern; zentras                             8°10'/47°13'             654622/229752    706
TGRIC     Rickenbach                           rre150h0         Kanton Thurgau                                     9°03'/47°27'             722080/256250    545
WHF       Riedholz / Wallierhof                rre150h0         MeteoSchweiz                                       7°34'/47°14'             609394/231491    518
MMRIG     Riggisberg                           rre150h0         DTN Schweiz AG                                     7°29'/46°49'             603271/184705    803
ZELURW    Roggliswil                           rre150h0         Kanton Luzern; zentras                             7°53'/47°13'             633462/230139    549
VDROL     Rolle                                rre150h0         Canton de Vaud                                     6°20'/46°27'             515360/145070    374
VDROM     Romairon                             rre150h0         Canton de Vaud                                     6°38'/46°51'             539210/189160    810
ROM       Romont                               rre150h0         MeteoSchweiz                                       6°56'/46°42'             561476/172622    692
MMROM     Romont                               rre150h0         DTN Schweiz AG                                     6°55'/46°42'             560223/171568    778
LUROO     Root                                 rre150h0         Kanton Luzern                                      8°23'/47°07'             672060/218910    426
DLROS     Rosenheim                            rre150h0         Deutscher Wetterdienst                             12°08'/47°53'            950621/313234    444
DLRAR     Rot an der Rot                       rre150h0         Deutscher Wetterdienst                             10°01'/47°58'            792331/315212    690
ZELURK    Rotbach Kantonsstrasse               rre150h0         Kanton Luzern; zentras                             8°15'/47°05'             662226/215127    512
ZELURN    Rotbach Nationalstrasse              rre150h0         Bundesamt für Strassen                             8°16'/47°05'             662434/214974    511
DLROH     Roth                                 rre150h0         Deutscher Wetterdienst                             11°06'/49°13'            -/-              385
ROT       Rothenbrunnen                        rre150h0         MeteoSchweiz                                       9°25'/46°46'             751221/181292    620
ZELURO    Rothenburg                           rre150h0         Kanton Luzern; zentras                             8°16'/47°06'             662314/217586    536
DLRON     Rottenburg am Neckar                 rre150h0         Deutscher Wetterdienst                             8°58'/48°28'             713175/370052    360
DLROT     Rottweil                             rre150h0         Deutscher Wetterdienst                             8°38'/48°11'             688995/337463    588
BOBERB    Rubigen                              rre150h0         Bundesamt für Strassen                             7°33'/46°52'             608367/190694    520
BOTIRU    Ruina                                rre150h0         Bundesamt für Strassen                             8°51'/46°26'             708400/143079    584
ZELURU    Ruswil                               rre150h0         Kanton Luzern; zentras                             8°09'/47°04'             654513/213594    670
ZHRAT     Räterschen                           rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°48'/47°30'             702390/261740    470
ZELURS    Rüeggisingerbrücke                   rre150h0         Bundesamt für Strassen                             8°17'/47°05'             664082/214922    450
RUE       Rünenberg                            rre150h0         MeteoSchweiz                                       7°53'/47°26'             633252/253845    611
ZHWD1     Rüti / Grundtal                      rre150h0         Kanton Zürich; Tiefbauamt                          8°53'/47°16'             709424/236524    544
DLSAA     Saarbrücken / Ensheim                rre150h0         Deutscher Wetterdienst                             7°06'/49°13'             575872/451603    320
MMSAS     Saas, Prättigau                      rre150h0         DTN Schweiz AG                                     9°48'/46°55'             780393/198400    1000
SAI       Saignelégier                         rre150h0         MeteoSchweiz                                       6°59'/47°15'             565349/234100    883
HAI       Salen-Reutenen                       rre150h0         MeteoSchweiz                                       9°01'/47°39'             719099/279047    718
SAX       Salez / Saxerriet                    rre150h0         MeteoSchweiz                                       9°30'/47°14'             755558/233374    436
IYSAU     Salurn                               rre150h0         Autonome Provinz Bozen - Südtirol                  11°11'/46°14'            888921/127431    214
IYSAN     Sand in Taufers / Mühlen             rre150h0         Autonome Provinz Bozen - Südtirol                  11°57'/46°54'            943368/204227    851
ZEOWSS    Sarnen Süd                           rre150h0         Bundesamt für Strassen                             8°15'/46°53'             661750/193188    480
ZEOWSA    Sarner Aa                            rre150h0         Bundesamt für Strassen                             8°16'/46°55'             663092/196368    462
IYSAR     Sarnthein                            rre150h0         Autonome Provinz Bozen - Südtirol                  11°21'/46°38'            899743/172969    971
SAG       Sattel, SZ                           rre150h0         MeteoSchweiz                                       8°38'/47°05'             690999/215145    790
GESAV     Sauverny                             rre150h0         République et canton de Genève                     6°08'/46°19'             499488/129386    454
MMSAX     Sax                                  rre150h0         DTN Schweiz AG                                     9°28'/47°14'             752932/233330    475
SUA       Schaan                               rre150h0         MeteoSchweiz                                       9°29'/47°11'             755510/228260    444
FLSAA     Schaanwald                           rre150h0         Liechtensteinische Landesverwaltung                9°34'/47°12'             760850/230750    513
SHA       Schaffhausen                         rre150h0         MeteoSchweiz                                       8°37'/47°41'             688702/282803    438
BOSHRH    Schaffhausen / Rheinbrücke           rre150h0         Bundesamt für Strassen                             8°38'/47°42'             689100/283040    394
BOSHSB    Schaffhausen / Schweizersbild        rre150h0         Bundesamt für Strassen                             8°38'/47°43'             689946/286579    469
SRS       Schiers                              rre150h0         MeteoSchweiz                                       9°40'/46°59'             769617/205125    626
IYSCH     Schlanders                           rre150h0         Autonome Provinz Bozen - Südtirol                  10°47'/46°37'            855860/169066    698
ZELUSC    Schlund                              rre150h0         Bundesamt für Strassen                             8°18'/47°01'             665329/207833    457
ZELUSG    Schongau                             rre150h0         Kanton Luzern; zentras                             8°15'/47°16'             661591/235470    655
GLSWA     Schwanden                            rre150h0         Gebäudeversicherung glarnerSach                    9°04'/46°60'             723823/205996    558
ZELUSH    Schwanderholz                        rre150h0         Kanton Luzern; zentras                             8°05'/47°02'             648438/208988    681
ZELUSB    Schwarzenberg                        rre150h0         Kanton Luzern; zentras                             8°10'/47°01'             655587/208155    760
BOBLSH    Schweizerhalle                       rre150h0         Bundesamt für Strassen                             7°41'/47°32'             618200/264151    277
MMSSE     Schwyz / Seewen                      rre150h0         DTN Schweiz AG                                     8°37'/47°02'             690119/209677    452
WSLSCB    Schänis Bestand                      rre150h0         Eidg. Forschungsanstalt WSL                        9°04'/47°10'             723438/225134    709
WSLSCF    Schänis Freiland                     rre150h0         Eidg. Forschungsanstalt WSL                        9°04'/47°09'             722925/223520    626
ZHSHU     Schübelbach / Mülenen                rre150h0         Bundesamt für Strassen                             8°58'/47°11'             715186/226987    413
BOBEVB    Schüpfen / Viadukt Bundkofen         rre150h0         Bundesamt für Strassen                             7°21'/47°03'             593822/210857    495
ZELUSM    Schüpfheim                           rre150h0         Kanton Luzern; zentras                             8°01'/46°56'             643956/197614    763
SPF       Schüpfheim                           rre150h0         MeteoSchweiz                                       8°01'/46°57'             643683/199710    744
LUSCH     Schüpfheim                           rre150h0         Kanton Luzern                                      8°01'/46°57'             644500/200940    761
SNG       Seengen                              rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°11'/47°20'             656680/242100    445
BOSGSV    Seezviadukt 1                        rre150h0         Bundesamt für Strassen                             9°19'/47°07'             741900/219845    462
LUSEM     Sempach                              rre150h0         Kanton Luzern                                      8°11'/47°07'             656880/219360    511
BOSGSW    Sennwald                             rre150h0         Kanton St. Gallen; Baudepartement                  9°30'/47°15'             755870/235277    445
BOFRSE    Sevaz Jura/Alpes                     rre150h0         Bundesamt für Strassen                             6°53'/46°50'             557011/186661    464
SIE       Siebnen                              rre150h0         MeteoSchweiz                                       8°54'/47°10'             710821/225538    452
VSSIE     Sierre                               rre150h0         MeteoSchweiz                                       7°33'/46°18'             609073/127492    535
DLSIG     Sigmaringen                          rre150h0         Deutscher Wetterdienst                             9°12'/48°04'             730848/326082    580
DLSIZ     Sigmarszell-Zeisertsweiler           rre150h0         Deutscher Wetterdienst                             9°44'/47°35'             773168/272210    507
SIH       Sihlbrugg                            rre150h0         MeteoSchweiz                                       8°35'/47°13'             686318/230586    549
DLSIN     Singen                               rre150h0         Deutscher Wetterdienst                             8°49'/47°46'             703677/292385    445
AGSIN     Sins                                 rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°24'/47°12'             672912/228032    397
SIO       Sion                                 rre150h0         MeteoSchweiz                                       7°20'/46°13'             591633/118583    482
BLSIS     Sissach                              rre150h0         Lufthygieneamt beider Basel                        7°49'/47°28'             628415/257193    371
BOSGSS    Sitenstuden 2, Mels                  rre150h0         Bundesamt für Strassen                             9°13'/47°07'             735130/219279    501
BOGRSO    Soazza                               rre150h0         Bundesamt für Strassen                             9°14'/46°22'             737603/136186    569
TISON     Sonogno                              rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°47'/46°21'             703635/133895    911
TISOV     Sonvico                              rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°59'/46°04'             719576/102086    578
STG       St. Gallen                           rre150h0         MeteoSchweiz                                       9°24'/47°26'             747865/254588    775
IYSMP     St. Martin in Passeier               rre150h0         Autonome Provinz Bozen - Südtirol                  11°14'/46°47'            889384/188242    588
SBO       Stabio                               rre150h0         MeteoSchweiz                                       8°56'/45°51'             716048/77973     351
BOSGSG    Stadtergasse                         rre150h0         Bundesamt für Strassen                             9°26'/47°03'             751454/212569    491
